,State,City,Pop,PCI,P total,price,rating,review,Total,Price perc
609,mt,sheridan,750,57613,2,1.5,4.5,6.0,5.0,0.4
610,mt,wibaux,625,46461,14,1.7857142857142858,3.642857142857143,10.5,20.0,0.7
611,mt,cascade,685,41893,10,2.0,4.15,19.5,44.0,0.22727272727272727
612,nc,lenoir,17938,35597,3,1.6666666666666667,3.1666666666666665,4.0,5.0,0.6
613,nc,wilson,49329,36166,15,1.8,3.2,13.066666666666666,27.0,0.5555555555555556
614,nc,washington,9536,31729,9,1.7777777777777777,2.7777777777777777,7.333333333333333,11.0,0.8181818181818182
615,nc,rockingham,8776,33261,3,2.0,3.0,5.0,8.0,0.375
616,nc,madison,2118,29263,80,1.8,3.1125,13.9875,296.0,0.2702702702702703
617,nc,macon,111,34734,13,1.6153846153846154,3.1923076923076925,9.615384615384615,22.0,0.5909090909090909
618,nc,jackson,461,28836,18,1.8888888888888888,3.0277777777777777,18.444444444444443,42.0,0.42857142857142855
619,nc,brunswick,971,36576,123,1.7886178861788617,3.0203252032520327,22.658536585365855,532.0,0.231203007518797
620,nc,henderson,14936,37444,5,1.6,2.7,7.6,8.0,0.625
621,nc,halifax,207,31456,14,1.7857142857142858,2.857142857142857,16.714285714285715,34.0,0.4117647058823529
622,nc,beaufort,4391,37538,11,1.8181818181818181,3.590909090909091,8.727272727272727,22.0,0.5
623,nc,catawba,620,38414,34,1.7352941176470589,3.3088235294117645,11.941176470588236,86.0,0.3953488372093023
624,nc,cleveland,881,32809,16,1.875,3.53125,15.9375,36.0,0.4444444444444444
625,nc,columbus,995,29340,4,1.75,4.125,14.0,10.0,0.4
626,nc,davidson,12921,34484,18,2.0,3.9444444444444446,15.722222222222221,69.0,0.2608695652173913
627,nc,durham,274291,43817,80,1.9125,3.1625,29.6625,263.0,0.3041825095057034
628,nc,franklin,4042,31256,6,1.6666666666666667,3.5833333333333335,10.833333333333334,11.0,0.5454545454545454
629,nc,hertford,2113,28555,13,1.9230769230769231,2.8846153846153846,8.384615384615385,27.0,0.48148148148148145
630,nc,gaston,1030,36378,14,1.6428571428571428,2.75,15.928571428571429,19.0,0.7368421052631579
631,nc,graham,15086,29056,10,1.6,2.5,7.4,19.0,0.5263157894736842
632,nd,williams,15,102808,9,2.0,3.5,7.0,38.0,0.23684210526315788
633,nd,mercer,92,53664,2,2.0,3.0,1.5,5.0,0.4
634,nd,pembina,553,50471,2,2.0,3.0,2.5,4.0,0.5
635,nd,rolette,599,32024,7,2.0,3.5,3.142857142857143,10.0,0.7
636,nd,steele,710,59264,3,2.0,3.5,8.0,8.0,0.375
637,nd,towner,535,43906,8,2.0,3.6875,2.875,11.0,0.7272727272727273
638,nd,nelson,56,53320,7,1.5714285714285714,3.7857142857142856,3.0,23.0,0.30434782608695654
639,nd,pierce,69,41871,3,2.0,4.0,1.6666666666666667,5.0,0.6
640,nd,renville,31,55901,16,1.8125,3.9375,8.5,27.0,0.5925925925925926
641,nd,richland,18,43573,13,1.6923076923076923,3.076923076923077,7.076923076923077,43.0,0.3023255813953488
642,nd,oliver,10,46166,13,1.9230769230769231,3.8076923076923075,10.384615384615385,52.0,0.25
643,nd,wells,84,52036,10,1.6,3.25,2.8,17.0,0.5882352941176471
644,nd,mchenry,54,49514,9,1.5555555555555556,3.5555555555555554,3.4444444444444446,23.0,0.391304347826087
645,nd,sargent,30,53801,8,1.5,3.1875,2.375,18.0,0.4444444444444444
646,nd,grant,105,40458,15,1.8666666666666667,3.8333333333333335,12.4,47.0,0.3191489361702128
647,nd,mountrail,32,72079,4,1.5,3.625,8.0,13.0,0.3076923076923077
648,nd,burke,41,87338,4,1.5,2.875,2.75,14.0,0.2857142857142857
649,nd,sioux,155,26476,1,2.0,3.0,16.0,2.0,0.5
650,nd,sheridan,27,31196,2,2.0,4.0,1.0,3.0,0.6666666666666666
651,nd,ward,54,58394,15,1.8,4.066666666666666,8.8,31.0,0.4838709677419355
652,nd,eddy,38,49167,9,1.5555555555555556,3.5555555555555554,3.4444444444444446,22.0,0.4090909090909091
653,nd,divide,75,65769,3,2.0,2.6666666666666665,2.0,10.0,0.3
654,nd,billings,12,94629,17,1.8235294117647058,3.9705882352941178,7.705882352941177,38.0,0.4473684210526316
655,nd,barnes,21,49276,16,1.875,3.625,15.875,43.0,0.37209302325581395
656,nd,morton,45,50815,15,1.9333333333333333,3.6333333333333333,13.666666666666666,48.0,0.3125
