State,City,Pop,PCI,price,rating,review,Price perc
mi,mecosta,2676,28828,3.0,3.75,13.5,0.025
mi,bay,1126,36517,3.3333333333333335,3.3333333333333335,10.666666666666666,0.03488372093023256
mi,barry,3495,39022,3.142857142857143,3.892857142857143,9.571428571428571,0.02456140350877193
mi,berrien,5027,40046,3.125,3.25,10.125,0.03950617283950617
mi,allegan,5034,38552,3.0,3.75,19.5,0.013888888888888888
mi,cheboygan,4712,33728,3.0,4.25,14.5,0.16666666666666666
mi,clare,3069,29615,3.0,4.5,4.0,0.045454545454545456
mi,gladwin,2887,30730,3.0,3.6666666666666665,6.333333333333333,0.033707865168539325
mi,ionia,10952,30260,3.0,5.0,22.0,0.045454545454545456
mi,jackson,32605,34054,3.0,3.75,6.0,0.07407407407407407
mi,kalamazoo,76545,41547,3.3333333333333335,3.6666666666666665,17.0,0.02727272727272727
mi,lapeer,8621,36820,3.25,4.375,5.75,0.36363636363636365
mi,marquette,20680,35194,3.0,4.25,7.5,0.09523809523809523
mi,menominee,8108,37545,3.0,3.25,16.5,0.14285714285714285
mi,arenac,853,32089,3.0,4.5,9.0,0.0136986301369863
mi,lake,5847,27540,3.0,4.5,4.0,0.017857142857142856
mi,wayne,16896,36914,3.0,4.0,72.0,0.07142857142857142
mi,st. joseph,8355,32629,3.5,4.0,6.25,0.17391304347826086
mi,saginaw,48323,34086,3.3333333333333335,3.3333333333333335,7.333333333333333,0.13043478260869565
mi,newaygo,2058,32273,3.0,3.8333333333333335,16.0,0.0967741935483871
mi,muskegon,37287,33447,3.0,4.666666666666667,16.0,0.11538461538461539
mi,monroe,19715,39996,3.3333333333333335,3.6666666666666665,6.666666666666667,0.21428571428571427
mi,midland,41800,40836,3.0,2.0,16.0,0.0625
mn,fillmore,478,41274,3.0,4.0,14.0,0.0136986301369863
mn,douglas,755,47165,3.0,4.0,14.0,0.023255813953488372
mn,lincoln,200,45516,3.5,4.0,4.5,0.07142857142857142
mn,benton,827,38515,3.0,4.25,9.5,0.010416666666666666
mn,big stone,268,49247,3.0,2.5,3.0,0.2
mn,morrison,198,38188,4.0,3.0,6.0,0.015151515151515152
mn,clay,75,39771,3.0,3.875,9.25,0.06451612903225806
mn,lake,2221,43372,3.0,4.75,4.0,0.5
mn,hubbard,798,36535,3.0,5.0,3.0,0.07692307692307693
mn,otter tail,491,43755,3.0,3.1666666666666665,4.0,0.17647058823529413
mn,kanabec,932,36612,3.0,4.5,3.5,0.07407407407407407
mn,washington,739,57716,3.125,4.03125,24.875,0.01
mn,traverse,340,52402,3.0,2.5,3.0,0.25
mn,norman,257,39225,3.0,3.875,9.25,0.0625
mn,rock,177,51342,4.0,4.0,16.0,0.01639344262295082
mn,sibley,252,43743,3.0555555555555554,3.5277777777777777,18.833333333333332,0.044009779951100246
mn,scott,145,51927,3.0,4.34375,19.5,0.01
mn,stevens,72,54452,3.0,2.5,6.0,0.09090909090909091
mn,todd,1438,37325,4.0,3.0,6.0,0.0136986301369863
mn,waseca,8904,44837,3.0,3.25,4.5,0.18181818181818182
mn,winona,26813,43901,3.0,5.0,5.0,0.0625
mn,wabasha,2477,43540,3.0,4.25,7.5,0.012578616352201259
mn,wadena,4094,35655,3.5,3.75,4.5,0.16666666666666666
mn,aitkin,2001,35185,3.3333333333333335,4.333333333333333,4.333333333333333,0.15789473684210525
mn,anoka,17543,44544,3.3,3.3,14.5,0.04854368932038835
mn,becker,4912,42497,3.5,3.75,6.0,0.13333333333333333
mn,beltrami,102,36353,3.0,3.25,9.5,0.1
mn,carlton,1039,37416,3.0,4.75,6.5,0.045454545454545456
mn,dakota,308,52542,3.0,3.3333333333333335,8.333333333333334,0.10714285714285714
mn,faribault,23851,39312,3.0,2.5,8.0,0.2
mn,goodhue,1178,47511,3.0714285714285716,4.035714285714286,26.357142857142858,0.014
mn,clearwater,1799,38105,3.0,4.5,3.0,0.043478260869565216
mn,houston,966,45395,3.0,4.0,4.5,0.0392156862745098
mn,grant,4152,47075,3.0,4.083333333333333,23.0,0.028037383177570093
mn,rice,1377,38617,3.0,4.5,3.0,0.02
mn,ramsey,26928,47960,3.1666666666666665,3.75,11.833333333333334,0.05555555555555555
mn,pipestone,4021,54075,3.5,3.75,13.0,0.028985507246376812
mn,mahnomen,1242,34463,3.0,4.5,3.0,0.1
mn,jackson,3201,49921,3.0,4.0,7.0,0.2
mn,isanti,5901,38327,3.0,3.6666666666666665,9.0,0.05
mo,osage,1714,42259,3.0,3.75,28.0,0.08
mo,howard,527,35953,3.0,3.5,18.0,0.009523809523809525
mo,st. louis,302838,61078,3.0,4.115384615384615,27.0,0.01344364012409514
mo,st. charles,70764,46189,3.090909090909091,3.772727272727273,16.09090909090909,0.029649595687331536
mo,st. clair,4698,28289,3.0,4.333333333333333,12.666666666666666,0.045454545454545456
