State,City,Pop,PCI,price,rating,review,Price perc
ga,jackson,5083,34627,1.2950819672131149,3.2295081967213113,41.31147540983606,0.291866028708134
hi,honolulu,347397,50988,1.7793427230046948,4.089201877934272,683.037558685446,0.07888888888888888
ia,boone,12470,45036,1.2857142857142858,3.357142857142857,14.285714285714286,0.6363636363636364
ia,hamilton,133,50618,1.4583333333333333,3.8958333333333335,14.083333333333334,0.24242424242424243
ia,greene,1068,48116,1.4285714285714286,4.089285714285714,9.892857142857142,0.28865979381443296
ia,fremont,718,43944,1.7,3.675,15.0,0.17094017094017094
ia,franklin,134,50235,1.2727272727272727,3.6363636363636362,18.545454545454547,0.3333333333333333
ia,floyd,318,41127,1.5,3.45,9.5,0.7692307692307693
ia,benton,41,47565,1.0,4.136363636363637,7.363636363636363,0.55
ia,hancock,195,50657,1.3636363636363635,4.136363636363637,19.181818181818183,0.15942028985507245
ia,fayette,1374,39680,1.4,3.6,4.8,0.45454545454545453
ia,des moines,216853,46007,1.597938144329897,3.801546391752577,86.58762886597938,0.194
ia,delaware,151,44837,1.6,4.2,4.2,0.8333333333333334
ia,clinton,25184,39659,1.5625,3.84375,28.125,0.23880597014925373
ia,clayton,39,44107,1.4583333333333333,3.8333333333333335,13.541666666666666,0.3
ia,cherokee,4900,55347,1.3333333333333333,3.4444444444444446,5.333333333333333,0.6923076923076923
ia,carroll,9812,49617,1.5,3.5357142857142856,9.428571428571429,0.5833333333333334
ia,dubuque,57941,42870,1.462962962962963,3.3333333333333335,38.611111111111114,0.3
ia,humboldt,4589,45629,1.6666666666666667,3.3333333333333335,8.666666666666666,0.5454545454545454
ia,muscatine,23817,42450,1.6923076923076923,4.3076923076923075,18.53846153846154,0.19696969696969696
ia,keokuk,10274,42783,1.1875,3.90625,16.625,0.7619047619047619
ia,audubon,1912,46872,1.0,4.166666666666667,6.666666666666667,0.5
ia,webster,71,42161,1.5,4.15,19.8,0.2631578947368421
ia,washington,7309,51235,1.5,3.4166666666666665,10.75,0.75
ia,wapello,2026,34477,1.0,4.75,10.25,0.36363636363636365
ia,union,382,37907,1.28,3.88,15.48,0.22727272727272727
ia,tama,2745,40729,1.2,3.4,2.8,0.5555555555555556
