,City,State,2018estimate,2010Census,Change,2016 land area,2016 land area.1
269,Everett,Washington,111262,103019,+8.00%,33.3 sq mi,86.2 km2
270,Ventura,California,111128,106433,+4.41%,21.8 sq mi,56.5 km2
271,Centennial,Colorado,110831,100377,+10.41%,29.5 sq mi,76.4 km2
272,Lakeland,Florida,110516,97422,+13.44%,65.9 sq mi,170.7 km2
273,Gresham,Oregon,110158,105594,+4.32%,23.3 sq mi,60.3 km2
274,Richmond,California,110146,103701,+6.21%,30.1 sq mi,78.0 km2
275,Billings,Montana,109550,104170,+5.16%,43.7 sq mi,113.2 km2
276,Inglewood,California,109419,109673,−0.23%,9.1 sq mi,23.6 km2
277,Broken Arrow,Oklahoma,109171,98850,+10.44%,61.7 sq mi,159.8 km2
278,Sandy Springs,Georgia,108797,93853,+15.92%,37.7 sq mi,97.6 km2
279,Jurupa Valley,California,108393,0,[ab],42.9 sq mi,111.1 km2
280,Hillsboro,Oregon,108389,91611,+18.31%,25.0 sq mi,64.7 km2
281,Waterbury,Connecticut,108093,110366,−2.06%,28.5 sq mi,73.8 km2
282,Santa Maria,California,107408,99553,+7.89%,22.8 sq mi,59.1 km2
283,Boulder,Colorado,107353,97385,+10.24%,24.8 sq mi,64.2 km2
284,Greeley,Colorado,107348,92889,+15.57%,47.8 sq mi,123.8 km2
285,Daly City,California,107008,101123,+5.82%,7.6 sq mi,19.7 km2
286,Meridian,Idaho,106804,75092,+42.23%,29.8 sq mi,77.2 km2
287,Lewisville,Texas,106586,95290,+11.85%,36.7 sq mi,95.1 km2
288,Davie,Florida,106558,91992,+15.83%,34.9 sq mi,90.4 km2
289,West Covina,California,106311,106098,+0.20%,16.0 sq mi,41.4 km2
290,League City,Texas,106244,83560,+27.15%,51.2 sq mi,132.6 km2
291,Tyler,Texas,105729,96900,+9.11%,56.6 sq mi,146.6 km2
292,Norwalk,California,105120,105549,−0.41%,9.7 sq mi,25.1 km2
293,San Mateo,California,105025,97207,+8.04%,12.1 sq mi,31.3 km2
294,Green Bay,Wisconsin,104879,104057,+0.79%,45.4 sq mi,117.6 km2
295,Wichita Falls,Texas,104576,104553,+0.02%,72.2 sq mi,187.0 km2
296,Sparks,Nevada,104246,90264,+15.49%,35.9 sq mi,93.0 km2
297,Lakewood,New Jersey,104157,92843,+12.19%,24.7 sq mi,64.0 km2
298,Burbank,California,103695,103340,+0.34%,17.4 sq mi,45.1 km2
299,Rialto,California,103440,99171,+4.30%,22.3 sq mi,57.8 km2
300,Allen,Texas,103383,84246,+22.72%,27.1 sq mi,70.2 km2
301,El Cajon,California,103241,99478,+3.78%,14.5 sq mi,37.6 km2
302,Las Cruces,New Mexico,102926,97618,+5.44%,76.9 sq mi,199.2 km2
303,Renton,Washington,102153,90927,+12.35%,23.4 sq mi,60.6 km2
304,Davenport,Iowa,102085,99685,+2.41%,62.9 sq mi,162.9 km2
305,South Bend,Indiana,101860,101168,+0.68%,41.4 sq mi,107.2 km2
306,Vista,California,101224,93834,+7.88%,18.7 sq mi,48.4 km2
307,Tuscaloosa,Alabama,101113,90468,+11.77%,71.7 sq mi,185.7 km2
308,Clinton,Michigan,100800,96796,+4.14%,28.1 sq mi,72.8 km2
309,Edison,New Jersey,100693,99967,+0.73%,30.1 sq mi,78.0 km2
310,Woodbridge,New Jersey,100450,99585,+0.87%,23.3 sq mi,60.3 km2
311,San Angelo,Texas,100215,93200,+7.53%,59.9 sq mi,155.1 km2
312,Kenosha,Wisconsin,100164,99218,+0.95%,28.0 sq mi,72.5 km2
313,Vacaville,California,100154,92428,+8.36%,29.0 sq mi,75.1 km2
