,GeoName,TimePeriod,DataValue
490,"Jeff Davis, GA",2014,"28,951"
491,"Jefferson, GA",2014,"28,456"
492,"Jenkins, GA",2014,"25,480"
493,"Johnson, GA",2014,"22,868"
494,"Jones, GA",2014,"32,850"
495,"Lamar, GA",2014,"29,433"
496,"Lanier, GA",2014,"23,921"
497,"Laurens, GA",2014,"31,813"
498,"Lee, GA",2014,"41,852"
499,"Liberty, GA",2014,"31,051"
500,"Lincoln, GA",2014,"31,933"
501,"Long, GA",2014,"27,377"
502,"Lowndes, GA",2014,"32,906"
503,"Lumpkin, GA",2014,"31,917"
504,"McDuffie, GA",2014,"31,657"
505,"McIntosh, GA",2014,"25,152"
506,"Macon, GA",2014,"28,018"
507,"Madison, GA",2014,"31,698"
508,"Marion, GA",2014,"24,898"
509,"Meriwether, GA",2014,"30,720"
510,"Miller, GA",2014,"33,952"
511,"Mitchell, GA",2014,"29,523"
512,"Monroe, GA",2014,"39,206"
513,"Montgomery, GA",2014,"26,140"
514,"Morgan, GA",2014,"41,424"
515,"Murray, GA",2014,"26,497"
516,"Muscogee, GA",2014,"37,750"
517,"Newton, GA",2014,"29,625"
518,"Oconee, GA",2014,"55,452"
519,"Oglethorpe, GA",2014,"34,291"
520,"Paulding, GA",2014,"32,056"
521,"Peach, GA",2014,"33,068"
522,"Pickens, GA",2014,"40,070"
523,"Pierce, GA",2014,"29,905"
524,"Pike, GA",2014,"33,642"
525,"Polk, GA",2014,"28,448"
526,"Pulaski, GA",2014,"25,958"
527,"Putnam, GA",2014,"35,978"
528,"Quitman, GA",2014,"26,489"
529,"Rabun, GA",2014,"34,180"
530,"Randolph, GA",2014,"27,047"
531,"Richmond, GA",2014,"33,057"
532,"Rockdale, GA",2014,"31,631"
533,"Schley, GA",2014,"27,706"
534,"Screven, GA",2014,"29,505"
535,"Seminole, GA",2014,"38,048"
536,"Spalding, GA",2014,"30,676"
537,"Stephens, GA",2014,"35,479"
538,"Stewart, GA",2014,"20,963"
539,"Sumter, GA",2014,"31,116"
540,"Talbot, GA",2014,"29,386"
541,"Taliaferro, GA",2014,"30,286"
542,"Tattnall, GA",2014,"25,909"
543,"Taylor, GA",2014,"25,957"
544,"Telfair, GA",2014,"18,374"
545,"Terrell, GA",2014,"37,650"
546,"Thomas, GA",2014,"37,856"
547,"Tift, GA",2014,"33,648"
548,"Toombs, GA",2014,"32,328"
549,"Towns, GA",2014,"31,721"
550,"Treutlen, GA",2014,"25,703"
551,"Troup, GA",2014,"33,354"
552,"Turner, GA",2014,"30,780"
553,"Twiggs, GA",2014,"34,665"
554,"Union, GA",2014,"31,444"
555,"Upson, GA",2014,"31,035"
556,"Walker, GA",2014,"29,017"
557,"Walton, GA",2014,"34,029"
558,"Ware, GA",2014,"29,559"
559,"Warren, GA",2014,"30,104"
560,"Washington, GA",2014,"31,659"
561,"Wayne, GA",2014,"28,433"
562,"Webster, GA",2014,"26,746"
563,"Wheeler, GA",2014,"17,442"
564,"White, GA",2014,"30,534"
565,"Whitfield, GA",2014,"32,934"
566,"Wilcox, GA",2014,"22,660"
567,"Wilkes, GA",2014,"34,695"
568,"Wilkinson, GA",2014,"32,636"
569,"Worth, GA",2014,"28,551"
570,"Hawaii, HI",2014,"35,442"
571,"Honolulu, HI",2014,"50,988"
572,"Kauai, HI",2014,"41,102"
573,"Maui + Kalawao, HI*",2014,"41,257"
574,"Ada, ID",2014,"45,418"
575,"Adams, ID",2014,"33,740"
576,"Bannock, ID",2014,"33,149"
577,"Bear Lake, ID",2014,"35,368"
578,"Benewah, ID",2014,"32,247"
579,"Bingham, ID",2014,"31,665"
580,"Blaine, ID",2014,"87,613"
581,"Boise, ID",2014,"36,229"
582,"Bonner, ID",2014,"34,758"
583,"Bonneville, ID",2014,"38,914"
584,"Boundary, ID",2014,"33,995"
585,"Butte, ID",2014,"34,022"
586,"Camas, ID",2014,"41,709"
587,"Canyon, ID",2014,"28,214"
588,"Caribou, ID",2014,"36,551"
589,"Cassia, ID",2014,"42,030"
590,"Clark, ID",2014,"36,380"
591,"Clearwater, ID",2014,"31,650"
592,"Custer, ID",2014,"41,413"
593,"Elmore, ID",2014,"33,892"
594,"Franklin, ID",2014,"32,130"
595,"Fremont (includes Yellowstone Park), ID",2014,"32,060"
596,"Gem, ID",2014,"32,429"
597,"Gooding, ID",2014,"58,373"
598,"Idaho, ID",2014,"30,701"
599,"Jefferson, ID",2014,"30,022"
600,"Jerome, ID",2014,"37,126"
601,"Kootenai, ID",2014,"38,416"
602,"Latah, ID",2014,"35,592"
603,"Lemhi, ID",2014,"37,065"
604,"Lewis, ID",2014,"44,531"
605,"Lincoln, ID",2014,"36,429"
606,"Madison, ID",2014,"22,027"
607,"Minidoka, ID",2014,"35,533"
608,"Nez Perce, ID",2014,"38,365"
609,"Oneida, ID",2014,"31,765"
610,"Owyhee, ID",2014,"33,339"
611,"Payette, ID",2014,"35,582"
612,"Power, ID",2014,"32,824"
613,"Shoshone, ID",2014,"33,851"
614,"Teton, ID",2014,"31,214"
615,"Twin Falls, ID",2014,"35,300"
616,"Valley, ID",2014,"43,108"
617,"Washington, ID",2014,"32,781"
618,"Adams, IL",2014,"40,921"
619,"Alexander, IL",2014,"29,171"
620,"Bond, IL",2014,"32,859"
621,"Boone, IL",2014,"40,608"
